ID,smiles,toxic,FormalCharge,TPSA,MolWt,HeavyAtoms,NHOH,HAcceptors,HDonors,Heteroatoms,AromaticRings,SaturatedRings,AromaticOH,AromaticN,LogP
25239916,c1c2c(c(c(c1[131I])[O-])[131I])Oc3c(cc(c(c3[131I])[O-])[131I])C24c5c(c(c(c(c5Cl)Cl)Cl)Cl)C(=O)O4,0,-2,81.65,987.6674984,33,0,5,0,13,3,0,0,0,7.4338
25239917,CCC[C@@H]1C[C@H]([NH+](C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@@H](C)O,0,1,123.69,407.553,27,6,7,6,9,0,2,4,0,-2.2741
25239918,CNC(=O)c1cc(ccn1)Oc2ccc(cc2)NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl,0,0,92.35,464.831,32,3,4,3,11,3,0,0,1,5.5497
25239919,CN(C)c1cccc2c1ccc(c2)S(=O)(=O)[O-],0,-1,60.44,250.299,17,0,4,0,5,2,0,0,0,1.8099
25239920,CC(C)c1ccc2c(c1)c(=O)c3cc(c(nc3o2)N)C(=O)[O-],0,-1,109.25,297.29,22,2,6,1,6,3,0,0,1,1.4103
25239921,Cc1c(c(=O)n2c(n1)CCCC2)CC[NH+]3CCC(CC3)c4c5ccc(cc5on4)F,0,1,65.36,411.501,30,1,5,1,7,3,1,0,3,2.17332
25239922,Cn1cc[nH]c1=S,0,0,20.72,114.173,7,1,2,1,3,1,0,0,2,1.08269
25239923,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,0,1,9.49,372.536,28,0,2,0,3,2,0,0,0,4.4596
25239924,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,0,0,93.06,452.494,32,2,6,2,8,0,4,2,0,2.3668
25239925,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCNC4=O)C(=O)[O-])C,0,-1,150.98,460.492,32,3,7,3,12,1,3,0,0,-1.2405
25239926,CC(C)[NH2+]CCCC1(c2ccccc2-c3c1cccc3)C(=O)N,0,1,59.7,309.433,23,4,1,2,3,2,0,0,0,2.1904
25239927,CC(C)(C)[NH2+]C[C@@H](COc1ccccc1C2CCCC2)O,0,1,46.07,292.443,21,3,2,2,3,1,1,1,0,2.4458
25239928,C[C@H](Cc1ccccc1)[NH+](C)CC#C,0,1,4.44,188.294,14,1,0,1,1,1,0,0,0,0.7655
25239929,CC(c1ccc(cc1)C(=O)c2cccs2)C(=O)[O-],0,-1,57.2,259.306,18,0,4,0,4,2,0,0,0,1.8325
25239930,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,0,0,75.27,226.276,16,2,3,2,5,0,1,0,0,1.185
25239931,Cc1cc(c(c(c1/C=C/C(=C/C=C/C(=C/C(=O)[O-])/C)/C)C)C)OC,0,-1,49.36,325.428,24,0,3,0,3,1,0,0,0,3.83236
25239932,C[C@H](Cc1ccc(cc1)OC)[NH2+]C[C@@H](c2ccc(c(c2)NC=O)O)O,0,1,95.4,345.419,25,5,4,4,6,2,0,1,0,1.1971
25239933,CC(C)(C)[NH2+]C[C@@H](COc1cccc2c1CCCC2=O)O,0,1,63.14,292.399,21,3,3,2,4,1,0,1,0,1.3072
25239934,c1cc(c(c(c1)F)Cn2cc(nn2)C(=O)N)F,0,0,73.8,238.197,17,2,4,1,7,2,0,0,3,0.7035
25239935,CN/C(=C\[N+](=O)[O-])/[NH2+]CCSCc1ccc(o1)C[NH+](C)C,0,2,89.36,316.427,21,4,5,3,8,1,0,0,0,-0.9843
25239936,CC[NH+](CCCC(C)Nc1cc[nH+]c2c1ccc(c2)Cl)CCO,0,2,50.84,337.895,23,4,2,3,5,2,0,1,1,1.785
25239937,C[NH2+]CC[C@@H](c1cccs1)Oc2cccc3c2cccc3,0,1,25.84,298.431,21,2,2,1,3,3,0,0,0,3.6047
25239938,CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O,0,-1,109.69,218.229,15,3,5,3,6,0,0,2,0,-2.378
25239939,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,1,0,78.29,293.374,22,0,5,0,5,2,0,0,3,2.92876
25239940,c1[nH]c2c(n1)[nH]c(nc2=S)N,0,0,83.38,167.197,11,4,4,3,6,2,0,0,4,0.59769
25239941,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,0,0,60.44,386.532,28,0,4,0,4,0,3,0,0,4.6552
25239942,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],1,0,225.5,511.508,35,6,11,5,15,2,0,0,2,-3.7813
25239943,CC(C)[NH2+]CC(COc1ccc(cc1)CCC(=O)OC)O,0,1,72.37,296.387,21,3,4,2,5,1,0,1,0,0.5037
25239944,c1ccnc(c1)[C@H](c2ccc(cc2)Cl)OC3CC[NH+](CC3)CCCC(=O)[O-],0,0,66.69,388.895,27,1,4,1,6,2,1,0,1,1.4184
