id,quantity_g,order_date
25240428,2,2/16/2019
25240608,7,7/28/2019
25240886,23,12/3/2019
25240944,14,2/1/2019
25240235,1,10/9/2020
25240852,25,9/23/2018
25240635,0,5/24/2021
25240906,21,5/20/2020
25240718,0,9/27/2020
25239957,15,12/16/2019
25241186,9,12/17/2020
25239947,15,6/25/2018
25240126,18,12/13/2019
25240295,13,5/13/2018
25240327,16,7/9/2018
25240020,2,5/11/2020
25240879,2,12/17/2020
25240934,23,9/19/2019
25240533,12,9/10/2018
25240171,18,3/14/2018
25241379,12,9/21/2018
25240786,9,8/12/2020
25240631,16,11/20/2018
25240432,19,9/10/2019
25240087,16,12/21/2020
25240847,16,9/3/2018
25241111,20,12/5/2020
25239918,9,11/30/2020
25240524,10,7/14/2018
25241264,0,11/23/2020
25240696,1,7/10/2018
25241036,13,4/10/2018
25240763,14,5/20/2018
25240264,12,3/23/2019
25240484,10,5/21/2020
25240662,19,7/6/2018
25241214,21,4/22/2021
25239920,19,6/15/2019
25240988,10,9/11/2019
25240200,1,3/22/2018
25240475,0,8/24/2019
25240318,8,5/7/2019
25240163,1,3/30/2018
25239949,3,9/13/2019
25240012,19,3/16/2020
25241078,24,8/5/2018
25240367,22,11/12/2019
25240956,23,12/23/2018
25241290,0,7/2/2019
25240702,24,12/26/2018
25241178,13,9/7/2020
25240382,17,10/4/2019
25241344,12,1/15/2019
25240480,13,12/5/2019
25240429,17,12/6/2020
25240647,6,7/5/2020
25240114,17,11/27/2020
25240189,22,5/18/2021
25241211,4,4/16/2019
25240549,15,1/12/2019
25241134,5,2/22/2018
25240795,8,1/4/2020
25241048,7,8/9/2018
25240501,4,3/25/2020
25241255,15,8/16/2019
25240914,14,5/21/2020
25240688,14,8/7/2018
25241130,23,6/13/2019
25241099,11,4/28/2021
25240077,18,4/12/2020
25240773,8,7/21/2020
25240877,20,6/10/2019
25241027,5,10/13/2020
25241212,25,12/30/2020
25239955,9,6/5/2019
25241029,17,3/3/2018
25241183,24,10/2/2019
25241261,0,8/13/2019
25239997,12,2/6/2019
25240421,7,8/30/2020
25240368,1,7/7/2020
25240601,14,4/9/2020
25240354,0,8/4/2020
25241162,9,11/9/2018
25240867,24,1/17/2019
25241164,23,7/24/2020
25240488,3,2/3/2020
25241140,12,12/10/2019
25241351,11,8/1/2018
25240618,5,12/22/2019
25241302,25,10/12/2019
25240755,12,7/22/2019
25241297,14,6/11/2019
25240553,1,3/14/2018
25241221,23,6/3/2018
25240511,7,9/15/2020
25240966,15,3/30/2021
25240698,18,3/15/2019
25240760,25,8/15/2020
25241282,7,3/19/2021
25240009,5,1/12/2021
25240941,23,3/18/2019
25241303,15,4/21/2021
25241327,7,5/7/2018
25239976,10,2/15/2018
25240100,16,6/13/2018
25240391,14,8/15/2019
25240571,9,2/9/2020
25241268,14,4/21/2018
25241091,15,4/29/2018
25240658,5,2/13/2019
25241184,16,8/8/2020
25240947,21,9/16/2020
25241370,2,2/24/2018
25240065,22,8/23/2019
25240304,19,1/22/2020
25240697,10,11/13/2020
25241054,2,11/2/2020
25239953,4,4/28/2021
25240957,25,4/20/2019
25240588,3,8/29/2018
25240537,8,7/31/2020
25240413,4,10/28/2018
25240932,23,1/16/2021
25240915,20,6/29/2020
25240778,12,9/9/2018
25241112,5,9/12/2020
25240803,3,8/11/2018
25240650,11,5/16/2018
25241209,16,1/17/2020
25240280,10,1/9/2020
25241187,20,11/29/2020
25240465,24,8/23/2020
25240226,14,1/16/2021
25241366,24,3/4/2019
25241139,14,10/20/2020
25240983,8,1/11/2020
25241197,17,3/2/2018
25241236,18,10/6/2019
25240962,23,7/25/2018
25240270,10,11/5/2018
25240577,4,7/16/2020
25240241,24,7/4/2018
25240092,25,10/22/2019
25240148,2,6/13/2018
25240936,9,7/14/2020
25240172,14,11/23/2020
25240182,2,5/21/2020
25240866,24,3/8/2021
25241192,24,12/31/2018
25241074,24,3/20/2020
25241043,24,3/3/2019
25240426,12,12/11/2020
25240579,11,8/15/2019
25240998,0,10/8/2020
25240470,16,7/20/2020
25240542,13,2/21/2021
25241007,22,4/25/2019
25241105,25,4/22/2019
25241306,16,5/19/2019
25240638,1,7/9/2018
25240199,22,4/22/2020
25240397,21,7/28/2018
25240025,1,2/25/2021
25240874,15,4/6/2018
25240620,21,10/13/2019
25240130,0,7/7/2020
25240293,11,8/6/2019
25241237,6,4/20/2018
25241071,19,4/11/2021
25241084,8,3/27/2021
25241156,5,11/22/2018
25240714,22,11/12/2020
25240120,9,1/27/2020
25241293,8,7/18/2018
25240784,7,1/9/2021
25241364,22,3/26/2019
25240147,17,2/16/2021
25240882,0,4/23/2021
25240896,14,11/17/2018
25240218,13,6/4/2019
25239938,8,2/28/2019
25240257,12,1/6/2020
25240446,16,6/15/2018
25239939,5,9/24/2018
25240423,1,10/5/2018
25240505,9,2/13/2019
25240233,8,10/7/2020
25240952,19,3/2/2018
25241308,24,9/26/2020
25241321,5,11/1/2019
25240461,14,3/21/2020
25240129,5,6/19/2019
25240868,20,3/12/2021
25240157,20,3/19/2018
25240358,19,7/3/2019
25240732,9,3/10/2018
25240448,14,10/5/2020
25241383,24,2/2/2019
25240169,6,8/24/2020
25240850,25,11/24/2019
25240256,6,1/1/2019
25240054,7,8/22/2020
25240747,12,6/3/2019
25241216,6,4/22/2019
25240317,3,10/28/2020
25240434,19,3/26/2021
25240548,14,9/2/2019
25240131,9,11/16/2020
25240038,18,1/25/2021
25240580,1,8/30/2020
25240878,2,2/22/2020
25241018,12,10/31/2019
25241077,0,6/22/2019
25241050,14,7/8/2019
25240816,14,10/12/2020
25241373,12,11/2/2019
25239990,22,8/14/2018
25240291,2,3/13/2020
25240933,12,1/12/2021
25241312,21,2/14/2021
25239969,7,1/14/2021
25240396,4,6/5/2019
25240634,20,9/24/2019
25240825,23,11/11/2020
25241081,2,10/9/2020
25240337,18,4/28/2018
25240093,0,8/27/2018
25240907,3,6/12/2020
25240102,18,9/29/2019
25240248,13,5/30/2020
25240110,10,7/28/2019
25240040,11,11/2/2019
25241346,5,9/21/2020
25240440,19,9/9/2019
25239961,5,9/26/2019
25241287,10,8/16/2018
25241274,4,1/22/2021
25240287,2,6/11/2018
25241369,21,4/21/2020
25240865,13,10/8/2020
25241368,19,7/28/2019
25241006,9,4/22/2021
25240883,10,5/25/2019
25240344,22,1/2/2019
25240699,11,9/6/2018
25239978,23,2/5/2019
25240765,22,4/6/2020
25240013,4,4/22/2018
25241198,7,5/19/2020
25240174,17,4/21/2020
25240665,24,6/27/2019
25240880,0,12/28/2018
25240780,0,8/29/2019
25240091,17,6/17/2019
25240550,4,11/25/2020
25241320,25,5/20/2021
25241047,14,2/24/2021
25240675,8,2/15/2021
25240851,15,8/20/2018
25240143,23,7/13/2018
25241103,6,11/15/2020
25240753,6,2/17/2021
25239943,4,12/26/2019
25240262,1,12/28/2020
25240245,18,11/13/2018
25241385,19,6/23/2020
25240444,9,5/22/2021
25239926,19,10/4/2020
25240561,21,5/26/2019
25241023,5,6/17/2019
25241137,20,5/8/2018
25241067,11,2/9/2021
25240351,9,1/31/2021
25240619,23,3/24/2020
25240486,13,9/10/2020
25240332,0,6/19/2020
25239982,2,10/13/2019
25240639,11,3/20/2019
25240792,1,9/2/2020
25241191,17,8/31/2018
25241085,23,7/7/2020
25239971,16,4/10/2021
25241155,20,3/5/2018
25240343,4,1/31/2021
25241003,5,4/22/2019
25239973,16,9/9/2020
25240333,11,10/1/2019
25240527,9,6/6/2018
25241283,3,6/14/2019
25240898,23,3/21/2020
25240974,1,6/14/2018
25240229,5,11/7/2020
25240210,6,11/16/2018
