classification,residueCount,resolution,structureMolecularWeight,crystallizationTempK,densityMatthews,densityPercentSol,phValue
HYDROLASE,640,2,73698.51,293,1.96,37.17,0
HYDROLASE,433,1.4,47940.37,291,2.37,48.15,2.5
HYDROLASE,517,2.7,58669.52,293,4.58,73.16,2.5
HYDROLASE,519,2.55,58895.48,293,4.51,72.75,2.5
HYDROLASE,519,2.49,59063.61,293,4.41,72.72,2.5
HYDROLASE,517,2.7,59368.96,293,4.59,73.19,2.5
HYDROLASE,512,2.35,59861.25,293,4.6,73.26,2.5
HYDROLASE,129,2.3,14425.06,290,2.08,40.79,3
HYDROLASE,354,2.2,41076.29,277,2.61,52.45,3
HYDROLASE,354,2.2,41122.32,277,2.61,52.45,3
HYDROLASE,138,1.95,15367.74,293,2.4,48.9,3
HYDROLASE,129,2,14389.6,293,2.07,40.54,3
HYDROLASE,129,2,14389.6,293,2.07,40.54,3
HYDROLASE,129,2.4,14389.6,293,2.07,40.54,3
HYDROLASE,129,2,14389.6,293,2.07,40.54,3
HYDROLASE,129,2,14389.6,293,2.07,40.54,3
HYDROLASE,556,1.63,63024.07,293,2.4,48.71,3
HYDROLASE,129,2.1,15454.58,293,2.14,42.5,3
HYDROLASE,129,2.09,14425.06,293,2.11,41.76,3
HYDROLASE,129,1.9,14389.6,293,2.09,41.25,3
HYDROLASE,129,2.3,14389.6,293,2.08,40.83,3
HYDROLASE,129,2.1,14389.6,293,2.07,40.68,3
HYDROLASE,129,1.9,15596.39,293,2.16,42.94,3
HYDROLASE,129,1.5,14331.16,293,2.09,41.22,3
HYDROLASE,2016,1.7,216219.92,295,2.16,43,3
HYDROLASE,233,1.33,25123.36,298,2.45,49.69,3
HYDROLASE,129,2.05,14460.51,298,2.07,40.69,3
HYDROLASE,1956,2.16,228429.89,291,2.52,51.27,3.25
HYDROLASE,256,2.29,28235.43,288,3.34,63.21,3.5
HYDROLASE,256,2.3,28579.66,289,3.25,62.18,3.5
HYDROLASE,256,1.94,28480.49,289,3.27,62.41,3.5
HYDROLASE,256,1.94,28379.38,289,3.28,62.49,3.5
HYDROLASE,256,1.94,28503.57,289,3.27,62.38,3.5
HYDROLASE,256,2.11,28450.46,289,3.26,62.25,3.5
HYDROLASE,256,1.94,28492.54,289,3.29,62.58,3.5
HYDROLASE,256,1.93,28627.71,289,3.27,62.41,3.5
HYDROLASE,256,2.5,28537.58,289,3.27,62.4,3.5
HYDROLASE,530,2.38,59214.02,289,2.4,48.71,3.5
HYDROLASE,373,1.52,40971.69,289,1.97,37.58,3.5
HYDROLASE,129,1.7,15088.68,274,2.12,41.9,3.5
HYDROLASE,129,1.7,15088.1,274,2.12,41.9,3.5
HYDROLASE,129,1.7,15124.13,274,2.12,41.9,3.5
HYDROLASE,244,1.9,27400.9,291,1.73,29.04,3.5
HYDROLASE,129,1.55,14390.2,277,2.08,40.93,3.5
HYDROLASE,253,2.18,27871.01,293,3.44,64.25,3.5
HYDROLASE,129,1.9,14331.16,293,2.04,39.77,3.5
HYDROLASE,129,2.17,14331.16,293,2.07,40.54,3.5
HYDROLASE,656,2,74263.02,293,2.2,44.13,3.5
HYDROLASE,129,1.89,14460.51,293,2.11,41.61,3.5
HYDROLASE,169,2,19778.94,293,1.9,35.28,3.5
HYDROLASE,129,2.5,14331.16,294,2.08,40.75,3.5
HYDROLASE,1379,2.43,152088.94,295,2.83,56.52,3.5
HYDROLASE,129,1.6,14331.16,295,2,38.35,3.5
HYDROLASE,129,1.61,14822.45,295,2,38.42,3.5
HYDROLASE,129,1.61,15627.77,295,1.99,38.05,3.5
HYDROLASE,129,1.61,15087.27,295,2,38.44,3.5
HYDROLASE,129,1.61,14857.9,295,1.99,38.33,3.5
HYDROLASE,495,2.8,57423.49,298,4.7,73.8,3.5
HYDROLASE,222,2.1,25097.59,298,2.85,56.79,3.5
HYDROLASE,1656,1.75,186138.53,298,2.65,53.64,3.5
HYDROLASE,318,2.02,36428.86,298,2.12,42.06,3.5
HYDROLASE,436,1.9,48373.96,298,2.57,52.15,3.5
HYDROLASE,221,2.8,26189.28,298,2.69,54.29,3.5
HYDROLASE,182,1.6,21117.96,298,3.41,63.94,3.5
HYDROLASE,182,1.6,20837.71,298,3.41,63.96,3.5
HYDROLASE,376,1,41967.77,293.15,2.09,41.13,3.5
HYDROLASE,114,0.96,12779.39,293,1.98,37.81,3.75
HYDROLASE,114,0.99,12854.92,293,1.65,25.29,3.75
HYDROLASE,201,1.65,22671.54,293,2.3,46.55,3.75
HYDROLASE,201,1.7,22518.39,293,2.25,45.25,3.75
HYDROLASE,104,1.7,12321.99,288,1.87,34.29,4
HYDROLASE,436,2.5,49246.32,273,3.25,61.87,4
HYDROLASE,77,1.1,8581.35,273,3.08,60.01,4
HYDROLASE,1764,2.45,192340.08,289,2.37,48.01,4
HYDROLASE,890,1.9,96644.52,289,2.58,52.26,4
HYDROLASE,890,2,96832.68,289,2.52,51.16,4
HYDROLASE,890,2,96832.68,289,2.52,51.2,4
HYDROLASE,890,2,96832.68,289,2.53,51.47,4
HYDROLASE,890,2,96832.68,289,2.54,51.52,4
HYDROLASE,890,2,96832.68,289,2.55,51.7,4
HYDROLASE,890,2,96832.68,289,2.54,51.67,4
HYDROLASE,890,2,96832.68,289,2.56,51.92,4
HYDROLASE,890,2,96832.68,289,2.55,51.74,4
HYDROLASE,890,2,96832.68,289,2.57,52.11,4
